"gene","nodescore"
"SEMA3G",1
"NISCH",1
"STAB1",1
"FUZ",0.631684892099759
"SLC6A13",0.528162007170055
"IDS",0.60376168244451
"PRSS3",0.512500378609402
"ZNF200",1
"CD4",0.484752176577394
"LRRC23",0.935008078830293
"BTK",0.661738007403185
"HFE",0.48409722757767
"SCMH1",0.657669459724743
"FYN",1
"HIVEP2",0.854303475629886
"FMO1",0.725189114984455
"ELOA",0.242992655127049
"LYPLA2",1
"CLCN6",1
"AC080038.1",0.370203569804439
"NME1-NME2",1
"SLC6A7",0.66166870113095
"TSPAN9",0.676896594641481
"BTBD7",0.874790297030139
"APBA3",1
"MKS1",0.903350091356982
"ABHD5",1
"ANOS1",0.402380767240434
"AKAP8L",1
"MBTD1",0.150066575560006
"UTP18",1
"RNF216",0.341864898599651
"TTC19",0.344601654755643
"PTBP1",1
"DPF1",1
"SYT7",1
"LARS2",1
"PIK3C2A",0.663586001349801
"PLAUR",1
"ANLN",1
"WIZ",1
"RABGAP1",0.635279284490702
"DCN",1
"QPCTL",1
"PPP5C",1
"CEP68",1
"MAP4K3",0.266171853038638
"ZBTB32",1
"TYROBP",0.717567772498235
"TMEM159",0.327922279649588
"GABRA3",1
"BRCA1",1
"ERCC1",0.704952719511883
"CD22",0.833274355642599
"SEMA3B",0.614224077959623
"MBTPS2",0.683119262287155
"PRICKLE3",1
"LTF",0.241646952777222
"EXTL3",0.527851949286328
"ELOVL5",0.103366123496107
"ALOX5",0.288875257183241
"CALCOCO1",1
"UBR7",0.988493049212285
"MAP4K5",0.544352974055412
"EHD3",0.929651684616141
"PSMC4",1
"MAN2B2",0.485901481765419
"SLC7A14",1
"CLDN11",1
"SLC25A39",1
"MVP",1
"NUB1",0.398444204356725
"PGM3",0.876446624618884
"RWDD2A",0.647636711500672
"CLK1",1
"POLR3B",0.437954968197663
"ANGEL1",0.426924681084015
"RNF14",0.452797865522434
"DNASE1L1",0.909274852677028
"DDX11",1
"HEBP1",0.850324471274386
"GPRC5A",1
"MAMLD1",0.716927911601066
"CD6",0.992761227136045
"TACC3",1
"UFL1",0.29655059851079
"POLA2",1
"ZC3H3",1
"CAPN1",1
"ACPP",0.506380748265969
"MDH1",0.983079465599005
"SLC30A9",0.734347328215195
"MTMR11",0.595424922853919
"COX15",0.327470816996305
"CCDC88C",1
"YAF2",0.630115038340998
"ZMYND11",0.195863285783386
"WAS",0.822511757324451
"DPEP1",1
"BID",0.817845207594499
"NPC1L1",0.553392179521839
"XYLT2",1
"STMN4",0.459391772823395
"NUDCD3",0.508771542778959
"ISL1",0.226095741895687
"CHDH",0.335826098071454
"IL20RA",0.760696222962157
"CLCA4",1
"GLT8D1",0.66072175046989
"ATP2C1",0.645874031381012
"IGF1",1
"SLC38A5",1
"RALBP1",0.121371845611098
"RUFY3",0.442324502755143
"CNTN1",0.813432108573213
"SLC11A1",1
"WWTR1",0.849099038857198
"AGPS",0.254519076053006
"CXorf56",0.484375260895211
"ATP1A2",1
"TTC27",0.556774635633608
"ZNF582",0.562327642181942
"VSIG2",0.651777962542003
"PHLDB1",1
"MARCO",0.951275414234014
"CYP24A1",0.474277945977298
"PRDM11",1
"SYT13",1
"SNAI2",0.96339905361346
"CD74",0.791658740537741
"HGF",1
"ZRANB1",0.784380684955535
"NCDN",1
"ADGRA2",1
"ZFP64",1
"MNAT1",0.692707418472626
"SAMD4A",1
"RUNX3",0.31119862647868
"MRE11",0.627789916622361
"PLEKHB1",0.543992098776424
"SERPINB1",0.363349067995363
"CYP3A43",0.512832393232159
"SLC7A9",0.718763461833823
"SPAST",0.815055095222242
"NRXN3",0.465453133156111
"OSBPL5",0.716847434825801
"AQR",0.323886727651933
"CPS1",0.96339905361346
"C8B",0.343977057391359
"FHL1",1
"RTF2",0.719501715902226
"NLRP2",0.762817742501609
"SLC45A4",0.721261693450288
"RNF10",0.856654524001266
"ZNF839",0.305284663551594
"ZDHHC6",0.934197608745888
