gene,logFC,logCPM,PValue,FDR
TSPAN6,-0.550847021,5.7176328378,2.90043249072339E-10,6.75316411297514E-10
TNMD,-4.0042912285,1.1465607461,2.24783741886842E-126,1.49925785190669E-124
DPM1,0.5359417471,5.301309361,1.47613550330758E-18,5.48244279282905E-18
SCYL3,0.4635545909,5.0086659478,6.23202680363648E-15,1.91071379728389E-14
C1orf112,1.4011693736,3.7465671342,5.0992110667092E-64,9.9656719666586E-63
FGR,-0.4069783048,3.2890988779,1.89282169482412E-05,3.17823577210957E-05
CFH,-1.377557702,5.8583469082,2.65802522742167E-54,4.01976338850076E-53
FUCA2,0.4461861848,6.0119727813,1.68118396578796E-10,3.97192514667362E-10
GCLC,-0.3110760024,5.5127709916,7.56357531717941E-06,1.30869281381957E-05
NFYA,0.6822542905,5.8676120955,1.01394026159581E-22,4.62439891486556E-22
STPG1,0.0291730194,3.5326275646,0.5782099141,0.6118139282
NIPAL3,-0.183792373,5.6492938785,0.012595423,0.0166083136
LAS1L,0.560605295,5.8345945859,1.24415592157049E-27,7.1343169934416E-27
ENPP4,-0.1072246863,4.9664751814,0.2930150039,0.3268082212
SEMA3F,1.2122659357,6.7083322688,1.32923800463198E-38,1.19719624664034E-37
CFTR,-0.6206566346,0.2838901192,0.0029304649,0.004107099
ANKIB1,0.2839179741,6.3101207129,9.93478753563794E-07,1.83238036718595E-06
CYP51A1,0.7339631262,2.3458611709,3.60220521878735E-15,1.1185708404164E-14
KRIT1,-0.0495489998,5.2035512344,0.2843702433,0.317714723
RAD52,-0.1332713859,3.1508315849,0.0155941869,0.0203587648
MYH16,1.1246147151,-1.389818488,2.33176636089076E-13,6.55192315834184E-13
BAD,0.6359177324,5.0415405423,1.34876219655824E-13,3.84232328552522E-13
LAP3,0.3696960614,7.0029597788,2.85262186998591E-08,5.83463481635304E-08
CD99,0.067617876,7.5232437121,0.4214186648,0.4575017427
CD99,0.067617876,7.5232437121,0.4214186648,0.4575017427
HS3ST1,-0.3445817069,2.4282206279,5.46147832335724E-05,8.86229246015037E-05
AOC1,3.5893420588,1.9720508029,1.14788701486848E-29,7.21977314773395E-29
WNT16,0.6079959856,-2.5145782555,0.0023563025,0.0033340729
HECW1,-0.359602361,-0.3108376286,0.0076936524,0.0103813444
MAD1L1,0.551489421,4.6757840265,1.8691006826268E-16,6.21568138314188E-16
LASP1,0.7973509875,8.7237834024,3.07420908387212E-16,1.0101982785473E-15
SNX11,0.2040547154,4.9053425562,0.000850957,0.0012529875
TMEM176A,0.2521285584,5.4450823709,0.0487004124,0.060236998
M6PR,0.2137421306,6.2899601284,0.0004306998,0.0006513161
KLHL13,-2.5513886877,3.5951797691,4.40923610072525E-98,1.74479771414413E-96
CYP26B1,-2.0947199503,2.9357368246,9.91033896832462E-77,2.56704257284485E-75
ICA1,0.8138060159,5.781912785,2.54993237696014E-25,1.31697991447793E-24
DBNDD1,2.0453468263,5.4469712316,5.1676704289647E-60,9.12697341995289E-59
ALS2,-0.0257796451,4.971994883,0.5671561916,0.6012427062
CASP10,-0.7801808491,3.5819494051,1.00148102730581E-18,3.75085595574551E-18
CFLAR,-0.9160037794,6.6764274085,7.46769660697405E-74,1.83787934807722E-72
TFPI,-1.7165611202,4.7228926418,8.58768748123408E-60,1.50887614476104E-58
NDUFAF7,0.0985675253,3.600564915,0.0093068865,0.0124455537
RBM5,-0.3218936488,6.4407618531,2.67988692878144E-12,7.0828751405609E-12
MTMR7,0.5060600875,1.3770861708,0.0001162427,0.0001842534
SLC7A2,1.415294137,7.9534053935,8.51079348276667E-10,1.9281755957535E-09
ARF5,0.8437448444,7.1378429343,5.38981454585847E-35,4.26814193879446E-34
SARM1,-0.2201327023,2.8330392416,0.0262919217,0.033504859
POLDIP2,0.5602960806,7.0077197123,1.2888798628553E-17,4.55097980711109E-17
PLXND1,-0.0395113221,7.4237547141,0.5767065851,0.6103897754
AK2,0.3043374948,6.9270129637,1.55518275755886E-09,3.46552217506919E-09
CD38,0.5277934025,2.6491367483,0.0032934449,0.0045940011
FKBP4,1.5685010957,8.6359464817,2.85574572625498E-62,5.32797755910088E-61
KDM1A,0.5130184175,6.7381831502,9.09402215180521E-24,4.3600551983911E-23
RBM6,-0.2059102473,6.1726014437,4.01589675269944E-06,7.08675377031652E-06
CAMKK1,0.1782127997,3.6813769638,0.024790894,0.0316708367
RECQL,0.0161951669,4.9060471898,0.8442961618,0.8613026535
VPS50,0.0807760918,5.0754288732,0.1888820201,0.2169681498
HSPB6,-4.3955339416,4.835015605,3.83414703798641e-319,2.97376442289963e-316
ARHGAP33,0.9470385497,3.7917370737,5.65141319782447E-21,2.3583898949753E-20
NDUFAB1,0.8352868064,5.8150274597,7.78986829870771E-39,7.06763919908822E-38
PDK4,-3.4673996657,6.5642972203,1.59058833821503E-202,2.85947755160167E-200
SLC22A16,0.3901900554,-1.7308444936,0.0798173724,0.0961833529
ZMYND10,2.5987918477,3.836119278,1.55233350004174E-42,1.62137919169423E-41
ABCB5,-3.5269566516,-0.0374587721,9.66738630143392E-128,6.67763024271565E-126
ARX,1.9149047892,0.2331458709,2.0902464766069E-09,4.61615936006923E-09
SLC25A13,0.4634823944,4.8492179169,3.14753363781608E-12,8.29221158114861E-12
ST7,0.1302072238,4.9998340328,0.0160707576,0.0209487052
CDC27,0.0699408369,6.2417470581,0.2095509055,0.2391318682
SLC4A1,-1.9910496533,-3.0340966742,1.22811336819044E-29,7.71364310340064E-29
CALCR,-1.0504568014,-0.439390861,8.53724022578801E-10,1.93384448572464E-09
HCCS,0.4761463106,4.5924935206,5.58277588149821E-15,1.71689174214513E-14
DVL2,0.0157592203,4.9410751431,0.7510561424,0.7757465201
PRSS22,1.5222226523,3.7776965871,6.2845077291037E-35,4.963609159565E-34
UPF1,0.380469871,7.1203736086,3.25273742728599E-18,1.18553719389239E-17
SKAP2,-1.1141311336,5.0781246837,7.20727641329263E-52,1.01215067519525E-50
SLC25A5,0.6804848435,7.9746380003,3.10990176124312E-23,1.45328616303505E-22
MCUB,0.5991903328,4.4596329549,6.60193162623481E-17,2.24188186046748E-16
HOXA11,1.2190062776,0.1750600354,1.77531940473408E-10,4.19104448742597E-10
POLR2J,0.9534741803,5.0248633085,7.15110575536851E-32,4.97753632910855E-31
DHX33,0.0485536972,4.8217277886,0.370270957,0.4060669575
MEOX1,-2.654282766,2.9505327598,3.29252071395265E-94,1.22773032006811E-92
THSD7A,-1.1957011727,2.7111792028,4.9264567543273E-35,3.90691192091642E-34
LIG3,0.984906507,5.6551996513,2.58471737488449E-44,2.86269840304425E-43
RPAP3,0.4235345112,5.2018605643,1.40703100794354E-19,5.4846731392354E-19
ACSM3,-1.6580129214,2.3341920237,1.09039944581678E-54,1.67137116635473E-53
REXO5,0.7378380472,3.2497475019,1.97321311897334E-19,7.64775033233156E-19
CIAPIN1,0.4644012702,5.3718342591,3.61054379039412E-15,1.12077554870256E-14
SPPL2B,0.5937067714,5.3473804097,3.41054903345406E-16,1.11707002970734E-15
FAM214B,0.2182944517,4.5218521817,0.000188059,0.0002934106
COPZ2,-0.8416907681,4.1860109819,8.71400675206321E-18,3.10678260167465E-17
PRKAR2B,-2.4323380616,6.2853545473,2.59583706080139E-146,2.42988251215567E-144
MSL3,0.1426044232,4.9369703425,0.0093073648,0.0124455802
CREBBP,0.0056777741,7.1470441577,0.9201645404,0.9300661509
TSPOAP1,-0.1578049447,4.5361514763,0.1461427106,0.1703387729
MPO,-0.9455185131,-1.6616574874,1.51763941449033E-12,4.07173745263435E-12
PON1,0.8631070828,-0.7928706222,0.0007830333,0.001157305
GCFC2,-0.1610735285,4.587214989,0.0004819193,0.0007259347
WDR54,1.096916087,3.8338287438,9.9656564481598E-34,7.50215501779662E-33
CROT,0.3721272531,5.0271953152,0.0007233582,0.0010727278
ABCB4,0.4910407192,1.0057398881,2.30802079802889E-08,4.75837568035941E-08
KMT2E,-0.2979774647,6.6461983536,1.6609991585165E-07,3.23593247861985E-07
RHBDD2,0.8333648949,6.696370096,6.45179193532978E-32,4.49885291231601E-31
SOX8,0.5147677197,2.7384181694,0.0470088589,0.0582429248
IBTK,0.151980714,6.2953748834,0.0110280623,0.0146318563
ZNF195,0.0992497173,4.5401216677,0.0443810292,0.0551528861
MYCBP2,-1.1299987174,6.5087539104,2.46535200853112E-58,4.17755590659087E-57
FBXL3,-0.502116484,6.1301574194,1.36542878299585E-16,4.57152562200363E-16
ITGAL,1.0587105853,4.8727794281,2.48059313140019E-18,9.09606661420904E-18
PDK2,-0.7829081963,4.8248907152,7.25501350056663E-24,3.4968855910224E-23
ITGA3,-0.2378254491,6.6959900725,0.0144835698,0.0189690252
ZFX,0.0214221213,6.009622319,0.7698558214,0.7933530533
LAMP2,0.3109540632,8.0257427816,1.79139472461256E-07,3.48321762010833E-07
ITGA2B,0.6915809608,0.1757163919,9.34464800861296E-07,1.72729003705439E-06
ASB4,-1.2578640639,-1.6796779599,6.5967679048661E-13,1.80629273295839E-12
GDE1,0.4492032242,6.7578335283,9.29758665786591E-15,2.82286419208621E-14
REX1BD,0.7843667003,4.1973972063,4.24632358410986E-13,1.17683205731747E-12
CRLF1,0.8101198015,3.1312719372,2.96408581739162E-05,4.90957798516767E-05
AC003665.1,0.1163887392,3.4843723983,0.1409260642,0.1646189139
TMEM98,-0.2902230051,5.5872863711,0.0019371517,0.0027640431
YBX2,0.7042314353,3.2528002999,2.76377344936011E-06,4.9378303314683E-06
KRT33A,1.0185255024,-1.9352310655,0.0004292944,0.0006492271
MAP3K14,-0.3190421717,4.2573633975,2.6295290675021E-06,4.70728014154657E-06
ABCC8,0.9275218358,3.5436018208,7.40105011660514E-05,0.0001189866
TMEM132A,2.2479248034,6.6721786533,7.56253625548585E-61,1.3604546666098E-59
AP2B1,0.5551415684,8.6792121444,1.93714801215134E-12,5.16103836861913E-12
TAC1,-1.4183650215,-0.4322340558,2.10360408877403E-11,5.26696519035785E-11
ZNF263,0.4743524353,5.5065223967,1.20111400768903E-21,5.19172281050968E-21
CX3CL1,-2.3291414035,6.5618822369,2.83752868204486E-93,1.04164127318436E-91
SPATA20,0.6492897773,6.0904963904,2.14727297056367E-10,5.0406323122554E-10
CACNA1G,-1.117195285,0.7117484409,1.65216454847212E-14,4.94647169216105E-14
TNFRSF12A,1.1192748568,5.599534558,4.88127706350695E-20,1.94292004642169E-19
DLX6,2.4244393307,-0.5030927187,7.80476298385335E-12,2.00594675212728E-11
MAP3K9,0.5735807701,4.1561819024,6.74540246539661E-11,1.63477096085757E-10
RALA,0.3150814439,6.3543042538,1.74555528432849E-11,4.38951771638548E-11
BAIAP2L1,1.1837916977,5.3942053187,2.23192081520113E-43,2.39382546224614E-42
KDM7A,-0.2213451333,5.3609827282,0.0033687802,0.0046945024
ETV1,-0.974583164,3.9202594452,1.66031675799163E-24,8.25324276001479E-24
AGK,0.3079257119,5.0096733462,3.09384494526642E-12,8.15551707945255E-12
ALDH3B1,0.5330332414,4.053976255,2.62221159495533E-08,5.38283091021305E-08
TTC22,0.3669053303,3.5816572833,0.0191700148,0.0248052444
PHTF2,0.7636716946,5.1738766352,7.58035007604043E-35,5.96279870078799E-34
CCL26,0.2579649642,-1.5065455319,0.0646859315,0.078852409
FARP2,0.3068814162,5.2585123104,6.15294898189444E-08,1.23149711024483E-07
USH1C,0.935736633,-0.2998299507,0.0014723326,0.0021248794
GGCT,1.471383427,6.3421805061,7.21078823550201E-55,1.11281442547435E-53
DBF4,1.296888253,3.9427919673,2.12783004091941E-56,3.41787421839043E-55
TBXA2R,0.4450300352,1.4828159167,6.6395727251228E-08,1.32557064937989E-07
IFRD1,-0.3434486294,5.1955840786,3.17586015246212E-05,5.24818285132628E-05
LGALS14,0.5005312075,-3.4285636338,0.1341671958,0.1571429735
COX10,0.052287609,3.9254446843,0.2784625867,0.3115374785
GTF2IRD1,1.2151902698,5.2468396052,1.34463772548743E-95,5.16287633607946E-94
PAF1,0.4789980498,6.365105861,1.99466949740683E-15,6.28377604463336E-15
VPS41,0.0300731382,6.0389402512,0.5512184597,0.5860636184
ARHGAP44,-0.087840494,3.3519453173,0.3786568419,0.4145434195
ELAC2,0.0498675208,6.0581367208,0.2725729462,0.3053761947
SCIN,1.1206913514,4.0948365791,2.92462097233375E-08,5.97604523259105E-08
ARSD,0.3500372744,6.9617054629,1.43685658475827E-05,2.43354809395109E-05
PNPLA4,0.1819039366,4.9663972629,0.0293400009,0.0372127115
MYH13,1.0876958155,-0.8901198616,1.60423272000332E-12,4.29896361472953E-12
ADIPOR2,0.2503498932,7.4139639826,0.0092662027,0.0123929811
CDKL3,0.3303658835,0.1062257751,4.34752261037027E-06,7.6545497977112E-06
UPP2,-0.5464051642,-1.9811870175,4.80877540045571E-05,7.83876881167181E-05
PRSS21,0.5996408569,2.0537427805,0.0210587004,0.0271340176
MARK4,0.6205518731,5.4775425559,4.96127320841111E-27,2.76661303441923E-26
PROM1,-0.4933324945,6.3280191098,0.022122767,0.0284214213
CCDC124,0.8088566599,5.5149158081,3.3832244606024E-18,1.23160803550372E-17
CEACAM21,0.2873294487,0.5892769591,0.0176001465,0.0228621675
PAFAH1B1,-0.361907835,7.1452717465,4.94184513590356E-17,1.68892519273874E-16
NOS2,0.2581226158,0.0327134589,0.0411686664,0.0513610285
DNAH9,-1.5198159543,0.1300303492,1.2177498393349E-21,5.26134603510824E-21
KIAA0100,0.1466997246,7.8471240961,0.0532327282,0.0655740636
SLC13A2,-1.7009425477,2.811868991,5.81461467769093E-17,1.97972569974411E-16
GAS7,-1.0245578074,5.6574811638,8.25435002998536E-29,4.98492960876491E-28
TRAPPC6A,0.9961828761,4.7873208621,4.06213588513376E-25,2.07783570261619E-24
MATK,0.3824875097,2.2143803658,0.0144752193,0.0189590033
CEACAM7,2.0907183821,0.1301017441,1.58900025722318E-13,4.50684369267374E-13
CD79B,0.2019321334,2.6577298401,0.2231721443,0.2535991892
SCN4A,-3.173316874,1.8600543141,6.47055374014298E-173,8.6526922083705E-171
ST7L,0.0435144757,3.6304878049,0.3510672205,0.3867252675
TKTL1,-0.0846728688,-2.0198799861,0.7012424143,0.7291502884
PAX6,0.2593433328,1.9659921163,0.0381297053,0.0477584543
RPUSD1,1.4568444362,4.8630452861,3.74329782770689E-66,7.73330006323678E-65
RHBDF1,0.7618271652,5.7306083401,1.18608350918592E-27,6.80850559111035E-27
LUC7L,0.5314312001,5.4048882383,3.60352012549516E-15,1.11885116466535E-14
CACNA2D2,1.3222128808,4.3977132749,9.63103073205061E-15,2.9211615670642E-14
BAIAP3,1.187464144,4.3230346814,5.38447174235756E-11,1.31185487271619E-10
TSR3,0.7756809771,5.3789969218,2.03340781293854E-21,8.67907051730025E-21
PIGQ,1.3021190338,6.2918746024,7.19413633001741E-48,8.83674320428292E-47
CRAMP1,0.2822742812,4.7818524996,2.237359696509E-06,4.024075155465E-06
TEAD3,0.2043827137,5.4207169206,0.0002866701,0.0004407787
SELE,-1.4409607895,3.5147981808,2.88033146827806E-23,1.34786205891874E-22
DNAJC11,0.1858956559,4.9783699329,0.0001885682,0.0002941711
FMO3,0.3620862946,2.884703122,0.0869530284,0.1043052103
MYLIP,-0.2742968065,5.6621624032,7.2858398383499E-05,0.0001172316
NOX1,1.0680622834,0.3247646152,1.35412635086897E-29,8.48744260463843E-29
E2F2,2.6542644656,3.3970459014,3.01424564414445E-66,6.26049825982748E-65
PSMB1,0.3799019674,7.192410798,0.000000001,2.23276933804386E-09
SYN1,2.3534837101,1.6509636767,3.88221920415794E-28,2.28011082899332E-27
JARID2,0.7371167003,5.5040649892,2.41810470679697E-29,1.49594052804718E-28
CDKL5,-0.1289577527,4.5612759211,0.1089064254,0.1290176126
CAMK1G,1.1045180117,-1.1490618247,1.83738382315657E-12,4.90245933393042E-12
CDK11A,0.2581770037,2.3127451411,0.0001244204,0.0001967562
NADK,-0.0704707078,5.8830283809,0.1272465302,0.1494964476
TFAP2B,0.7956326074,6.1063342644,0.0033838529,0.0047140548
DLEC1,-0.8256358796,0.4955204756,4.85180868848344E-13,1.34012208646287E-12
CYTH3,-0.5719075325,5.4478507116,6.04397569498539E-16,1.95693898158484E-15
ADAM22,-0.6032280753,3.3062207006,1.5714382076932E-09,3.50030865561988E-09
SYPL1,-0.0017846428,7.212683728,0.9671666948,0.9718206654
CYB561,1.3978472902,7.6993887499,2.73345516254169E-46,3.19149995020889E-45
SPAG9,-0.2548034381,6.6912029288,0.0001997141,0.0003110228
CELSR3,2.5716429036,3.9575319833,2.09333653204275E-48,2.6308200693904E-47
AASS,-1.741504689,2.754799294,1.15820120348647E-94,4.34261462290658E-93
PLEKHG6,-0.6786072919,4.0637591332,1.13055937822798E-11,2.87657370713064E-11
SS18L2,0.5704824906,4.029999899,1.97483666225269E-22,8.88153015797075E-22
MPND,0.7378937053,4.2294366886,3.20067920866436E-21,1.35146426813506E-20
MGST1,-1.111607118,7.5602737511,3.83630331535368E-24,1.87302679493869E-23
CRY1,-0.0016778512,4.7786366829,0.9661037516,0.9709323032
NFIX,-0.6907097133,7.3465450097,5.75859655209912E-12,1.49234235802657E-11
ST3GAL1,0.9455532954,7.0056755328,3.40198672355836E-18,1.23827207827454E-17
MMP25,1.4125263977,2.5558274826,1.79416285584405E-16,5.97306167338024E-16
IL32,1.2415767755,5.4304318608,8.523551970791E-19,3.20160982149014E-18
PKD1,-0.4037205307,6.0694773423,8.39941017845989E-12,2.15388615817563E-11
MAPK8IP2,2.8086032869,5.0423022802,1.37959000276923E-50,1.87158171989872E-49
MED24,0.8843141075,6.8889708714,1.00858864696914E-15,3.22981566717284E-15
RHOBTB2,-0.0742729524,4.4692086892,0.2776670209,0.3107370635
HEATR5B,-0.1152962594,5.7534608926,0.0307010208,0.0388409336
SEC62,-0.1645004873,7.5417065582,0.00169858,0.0024366989
RPS20,-0.1928440499,9.6290548526,0.0128074396,0.0168788599
CSDE1,-0.549914369,9.4330079466,1.27663674483934E-29,8.0091474636951E-29
UBE3C,0.2480630975,6.8504909141,3.70184318051588E-06,0.00000655
REV3L,-0.9503652233,5.0822066097,1.91990554392508E-40,1.85406459962256E-39
TENM1,-1.5867443281,0.7232358105,9.62003170505586E-24,4.60655107894596E-23
PAX7,5.7967221379,1.5716105987,3.38265014294597E-19,1.295322623507E-18
MASP2,-1.3025053202,0.3068346358,2.5269436505191E-44,2.79985356477516E-43
IYD,0.9099049719,1.7576670648,0.0012152753,0.0017673773
FAM76A,-0.4234174281,3.9156079667,4.92200202989804E-27,2.74697095196571E-26
TRAF3IP3,0.9662007634,3.1144111151,1.76909680383696E-13,5.00561828611197E-13
POMT2,0.1283693968,4.7231371536,0.0114010184,0.0151060155
VTA1,0.3728604329,5.8058116998,1.84599395207223E-10,4.35523655683581E-10
MLXIPL,-3.4904709485,2.4775940307,1.78100731618933E-179,2.57166088325933E-177
BAZ1B,0.425074004,7.2397571766,4.74749989252851E-17,1.62373229283834E-16
RANBP9,0.5474195171,6.2253623456,4.45846106647669E-19,1.69746681782014E-18
ETV7,2.0628437493,2.7598641009,3.39786744136065E-39,3.128850392238E-38
SPRTN,0.5125442124,4.0852016232,5.14087859613184E-21,2.14831112023699E-20
EEF1AKNMT,0.7032547066,5.8329365768,8.41977260866193E-38,7.34693498022298E-37
DYRK4,0.4045049347,4.1495907027,1.73182606432143E-08,0.000000036
ZNF207,0.3116953091,7.2438930115,2.32871204253066E-17,8.10036098238561E-17
UQCRC1,0.5063819587,7.1850769089,1.76133506906899E-15,5.56744315148427E-15
STARD3NL,0.1391895047,4.8889457945,0.0018122538,0.0025928211
CD9,1.0293917249,8.6646671169,5.37467679011256E-40,5.09430782627079E-39
HHATL,-2.646071478,-2.0504970551,6.56518893765203E-41,6.46422266599572E-40
NCAPD2,0.969435609,6.6717493484,1.06604038509432E-26,5.85804297444744E-26
IFFO1,-0.415963453,3.3405375949,7.11273184161073E-08,1.4168052434133E-07
GIPR,0.5845683042,1.6583060857,9.37355977010411E-05,0.0001495736
PHF7,-0.3424179078,2.4635253876,1.10568923050363E-06,2.03340152098445E-06
SEMA3G,-2.8050396174,5.2373437506,3.76512526207442E-206,7.0005541345392E-204
NISCH,-0.4940291724,6.5808199833,1.15142464278839E-23,5.49131647103542E-23
STAB1,-0.8158756794,5.889605258,3.04586697333327E-22,1.35790942450492E-21
FUZ,0.3477654708,4.2915743815,3.84951780057694E-05,6.32177920232678E-05
SLC6A13,0.5824842736,-3.0932651734,0.0029135743,0.0040849027
IDS,-0.2169719222,6.8835397776,0.0001412052,0.0002224312
PRSS3,0.7250715982,-1.0143257112,0.0049920533,0.0068493444
ZNF200,0.5279338358,3.6813514106,5.36669982509084E-32,3.75765884580645E-31
CD4,0.2463727941,6.021157397,0.0120433601,0.0159112792
LRRC23,0.6220274394,3.493050665,4.37771163991587E-14,1.28016115670749E-13
BTK,0.4313946406,3.2227132545,8.50719879451762E-06,1.46635607642374E-05
HFE,-0.2015193739,4.2149796583,0.0122825133,0.0162059447
SCMH1,-0.2231221728,5.5888570874,1.05068954653804E-05,1.79790837306616E-05
FYN,-0.8776077513,5.1266326063,6.03766109123631E-30,3.84376988702394E-29
HIVEP2,-0.4844059316,5.3348328166,3.37784357511967E-11,8.34956671737375E-11
FMO1,-0.6655570462,3.1008745395,2.40123815864709E-07,4.62429136312669E-07
ELOA,-0.0156708178,5.9426543404,0.7046552334,0.7324744769
LYPLA2,0.986602618,6.0600479983,1.56242713358626E-49,2.03131166009696E-48
CLCN6,-0.9126727704,4.1260526275,1.1579819593705E-90,4.00440487504097E-89
AC080038.1,0.1433058317,7.278636736,0.1756396299,0.2026054219
NME1-NME2,1.6384038273,0.1427128743,1.01247903674431E-27,5.83045310383138E-27
SLC6A7,0.7722201945,-2.3091853378,0.000008538,1.47139199338118E-05
TSPAN9,0.3022987466,6.5251188508,3.80253112344709E-06,6.72159340216804E-06
BTBD7,-0.3746156086,5.4886229701,6.77161143947996E-12,1.74636295018167E-11
APBA3,0.6146635993,3.7339271187,1.36153398003512E-21,5.86763000826056E-21
MKS1,0.4500489298,4.2994228715,6.57502355999272E-13,1.80070207384546E-12
ABHD5,-0.6938393914,4.5620070698,3.06405147811823E-34,2.3629756086647E-33
ANOS1,0.2066986279,4.8863925965,0.0961296034,0.1146392924
AKAP8L,0.614494962,5.5519141337,1.23447307494591E-26,6.75911954540632E-26
MBTD1,-0.0039727878,5.1431639826,0.9464773183,0.9536084802
UTP18,0.8484216413,5.5646615019,8.93795028768637E-26,4.7030354431001E-25
RNF216,0.0430111889,5.9387084,0.2727052144,0.3055117721
TTC19,-0.0628705033,5.8973444676,0.2622984356,0.2947776168
PTBP1,0.7375042342,8.1093727861,1.66766255148848E-87,5.52077653935442E-86
DPF1,1.366537261,-0.2531304288,6.87493032290558E-26,3.63157926728147E-25
SYT7,1.197727052,6.7510746681,9.96295001315939E-21,4.09779153117007E-20
LARS2,0.4236182466,4.7622011574,6.29971785214921E-17,2.14113109821513E-16
PIK3C2A,-0.3031657645,6.2813300377,7.72390413668844E-06,1.33575270239246E-05
PLAUR,1.7764932671,5.2429767282,1.36691116933338E-53,2.03210134735618E-52
ANLN,3.4560947619,5.4873745323,3.01584169807041E-98,1.19690115110847E-96
WIZ,0.5093355731,6.165382318,1.65085055771117E-20,6.71974647467799E-20
RABGAP1,-0.1805493699,6.3572453104,3.2331511122864E-05,5.33993186262635E-05
DCN,-1.9280164654,9.5995406682,4.27627346556093E-82,1.24955564581396E-80
QPCTL,0.8472548785,3.8836332824,1.96584053096269E-29,1.22227913544464E-28
PPP5C,0.6249765658,5.8503241112,1.44495391474931E-40,1.40288694455596E-39
CEP68,-1.1243518012,5.3046100214,2.58718848117401E-153,2.66029615567991E-151
MAP4K3,0.0298545294,5.4985303292,0.6064186223,0.6392451041
ZBTB32,1.2813176199,-0.214496894,4.84462048622448E-20,1.92889509708199E-19
TYROBP,0.5168878004,5.5449801048,3.78819295582907E-07,7.19926393019713E-07
TMEM159,-0.0646128907,5.6478591965,0.3286868949,0.3638880281
GABRA3,4.5414012775,0.1482427735,2.33090913817677E-18,8.56338604208238E-18
BRCA1,1.1909209545,4.3685494973,1.6283372691744E-30,1.06770153403402E-29
ERCC1,0.2687409318,5.8579737545,7.92516272072511E-07,1.47343652638041E-06
CD22,0.9911761057,3.3431936093,1.66063823180689E-10,3.92475060426867E-10
SEMA3B,0.6683615102,5.2006527711,8.77787196778241E-05,0.0001404232
MBTPS2,0.3194242457,5.1429857278,0.000002709,4.84406934736793E-06
PRICKLE3,0.6023430022,3.3434463531,7.71680111375654E-28,4.47320698343017E-27
LTF,0.1070212964,9.940942166,0.7100007597,0.7373251959
EXTL3,-0.1864542956,5.4953909628,0.0029456597,0.0041275424
ELOVL5,0.0044718246,8.5779743148,0.9842717612,0.9863064315
ALOX5,0.0674661173,4.5386094722,0.5030535996,0.5387152557
CALCOCO1,-0.9876034124,6.3401779131,2.03977225539687E-83,6.15240640500038E-82
UBR7,0.4767901743,6.0080495204,3.27899343980144E-16,1.07540843200253E-15
MAP4K5,-0.1581127911,5.7728845607,0.0016176855,0.0023247057
EHD3,-0.5171085336,4.2572581022,6.98615636793564E-14,2.01944628648686E-13
PSMC4,1.0786352488,6.552768255,5.5743528352335E-60,9.83884148668716E-59
MAN2B2,0.1615425848,6.4241775921,0.0116334446,0.0153966889
SLC7A14,-2.5424767935,-2.7419473232,5.4975088685617E-50,7.29757338611129E-49
CLDN11,-2.396953656,3.5038438031,1.50988008483673E-102,6.50590552110761E-101
SLC25A39,1.2372817187,7.2358804536,1.56380397586591E-58,2.66317582991568E-57
MVP,0.7251695498,7.5044117838,1.87071853551943E-19,7.25440532934656E-19
NUB1,0.070810785,6.4296510263,0.1041168667,0.1236484585
PGM3,0.4531767646,5.6922906028,5.93223413683963E-12,1.53611461544052E-11
RWDD2A,0.2819299282,3.2712910363,1.75244208036487E-05,2.94945704715635E-05
CLK1,-0.6370667841,6.2760356451,5.28992059380664E-30,3.37723858042039E-29
POLR3B,0.1094489514,4.0019465489,0.0431733516,0.053723759
ANGEL1,-0.0998656415,4.8706065768,0.056195792,0.0690298642
RNF14,0.1181764947,6.1823378431,0.0296134923,0.0375402943
DNASE1L1,0.3904284588,4.3566654876,3.99954487057825E-13,1.11025304281335E-12
DDX11,0.7606064588,4.5272713603,7.044756725027E-19,2.65459419846728E-18
HEBP1,0.7993886481,6.5547323727,4.58597275900591E-11,1.1233605532934E-10
GPRC5A,2.4465833869,8.3984540104,5.55864570505656E-54,8.3598335905521E-53
MAMLD1,-0.5844796934,2.9260745937,3.93465809135931E-07,7.4682022478003E-07
CD6,1.2040483334,3.3513711024,2.43754685159665E-16,8.05375448313566E-16
TACC3,2.4110746377,5.5323151449,2.09739594242673E-102,9.00884655903733E-101
UFL1,0.0454485977,5.708398768,0.4677067369,0.5038440843
POLA2,1.0081077298,4.6575966585,2.89320336515696E-52,4.11845299163874E-51
ZC3H3,1.1227880744,5.1735280186,5.80502888278101E-56,9.22618934730524E-55
CAPN1,0.597603486,7.7925627044,1.39724905180349E-21,6.01677074242665E-21
ACPP,0.3704359497,1.2330212974,0.0061110558,0.0083236689
MDH1,-0.4289220441,7.0867106826,5.06787717846727E-16,1.64718144021399E-15
SLC30A9,0.2842172545,6.4232118826,1.37467443805312E-07,0.000000269
MTMR11,0.3402015881,4.1744229755,0.0002042048,0.0003177612
COX15,-0.0414387662,5.546754206,0.3305752809,0.3658145438
CCDC88C,0.9316090527,6.0844357484,1.40119971897743E-28,8.38372659717022E-28
YAF2,0.192418671,3.9485871466,4.15221208481677E-05,6.80528583314834E-05
ZMYND11,-0.0083975514,7.0953805973,0.8604684677,0.8759901378
WAS,0.6613224248,3.4586559108,3.66899639588052E-10,8.49382365363914E-10
