gene,logFC,logCPM,PValue,FDR
MYCBP,0.7231612923,5.1609170715,6.47430959182948E-37,5.47854140211356E-36
PRDX1P1,2.4443727084,-0.7607138485,4.62058205476397E-28,2.70440535702076E-27
TMEM213,-1.1544960243,1.7823737153,2.9119300106902E-06,0.000005196
AC132008.2,0.1650269791,3.6741258335,0.0095816638,0.0127953486
PRCD,-1.8500042853,-0.4020932142,3.3396947004323E-116,1.87700522438789E-114
LINC00887,1.5696027856,-0.6868256184,1.43775381382276E-17,5.06478912925418E-17
LINC02026,1.2489329938,-2.2058815964,1.94427058326976E-18,7.17108277900011E-18
ALG3,1.2050710263,5.7271333415,5.89933812155398E-54,8.85749074378896E-53
AMZ2P1,0.0666641385,3.6139051513,0.3541194246,0.3897869556
PLEKHM1P1,-0.1630821018,3.6045158039,0.0135055187,0.0177497366
PTMAP5,0.9409590419,1.095905304,1.37858442739923E-20,5.62921974521353E-20
GCC2-AS1,0.2419164894,-2.0066170151,0.0048077161,0.006611797
XPOTP1,0.19318808,-2.5011151083,0.1267763796,0.1489814546
ST7-OT4,1.304039847,-1.5705775908,2.76438489303756E-07,5.3055707230202E-07
ZNF788P,0.1224802411,2.8634453968,0.146816657,0.17104358
SH3D21,0.7879359759,3.8863096361,3.23840759534849E-11,8.01464613807946E-11
SMIM30,0.3041538018,4.9538437192,3.66282993511334E-06,6.48407852068312E-06
TTC41P,0.4099302994,-0.2132204298,3.99591794835528E-07,7.5823562579374E-07
EEF1A1P12,-0.4937818913,0.9039350507,4.08808030613436E-11,1.00438979084373E-10
RPS4XP1,-0.1093846069,-2.5763183154,0.2483490994,0.2801215213
KRT18P10,2.0061493944,-1.8641127747,4.40894384722226E-34,3.3733142524435E-33
C19orf38,0.8715629312,0.9724197706,1.02662351177285E-15,3.28524364618483E-15
IQCJ,1.1850166818,-2.1109885071,0.0010094357,0.0014780011
HNRNPA1P10,0.5978611744,-0.5270358399,8.37153025794854E-14,2.41015548183552E-13
C17orf67,0.2122377017,1.1554761756,0.0249327418,0.0318415604
MINDY4B,2.4176117157,-1.3533104391,5.33924285785425E-26,2.83971564693009E-25
AC004980.2,-0.0164526083,-3.0450675993,0.9117820964,0.9223490511
AC010336.1,1.047179285,-2.7501090122,5.53208548574802E-17,1.88589718191782E-16
AZGP1P2,0.6993051421,-2.4276291546,0.0028873777,0.0040506851
FIS1,0.1984111462,6.2870452097,0.0051382081,0.0070420456
RPSAP53,-0.1611454578,0.4593948351,0.5291440566,0.5646505193
LGMNP1,-0.6089368291,-1.6818675298,5.56607249307768E-11,1.35500496724138E-10
AGGF1P1,-0.1499899063,-3.2552164662,0.4218104841,0.4578904867
ANG,-0.5597218036,3.6533405402,0.000000013,2.72766943236282E-08
SCART1,0.2369473977,0.936392944,0.0602576836,0.0737790392
AC046134.1,0.1799656973,-2.2376147015,0.1171082685,0.1381822592
KRT8P14,1.5653597863,-3.3272283908,5.08954167384186E-20,2.02285063364731E-19
COLCA2,-0.7929148818,0.5755682377,3.65101259823805E-08,7.41344812564665E-08
APTR,0.504147949,3.3778976123,1.37782202468495E-12,3.7098151837034E-12
ALDOAP2,1.1945123939,-2.820692682,1.78233443879117E-14,5.32855183650055E-14
SPDYE3,0.2977327835,3.1482742245,3.16471421082689E-09,6.90645003353218E-09
MBLAC1,0.986971155,1.095100145,1.20843772265246E-22,5.49669075387461E-22
AZGP1P1,1.4657143259,2.6293717398,5.34397189018223E-14,1.55385026704035E-13
CXADRP1,1.5267830725,-2.2426677863,0.0001881648,0.0002935588
AC009053.1,-0.6252382566,1.2536350334,5.92758321551176E-18,2.13069615953764E-17
FOXI3,1.3156416238,-0.3006728721,4.24423762016501E-05,6.94856006495382E-05
SOGA3,-1.6079842052,-3.2392169584,4.0367812730666E-33,2.95689326601905E-32
VAC14-AS1,1.1270787204,-2.3127548608,1.80182675352141E-13,5.093979280472E-13
NEURL1B,-0.2405621438,5.5720281395,0.0027649446,0.0038861545
RPS3AP36,-0.1398948777,-3.173635669,0.2486119275,0.2803713757
HAUS3,0.0960771958,4.3299798062,0.0524002057,0.0645983644
VSTM5,-0.0943449622,0.4554663873,0.5749294392,0.6087224368
RPS3AP26,-0.5295854994,0.5240036215,8.62691796055953E-10,0.000000002
TUBAP2,0.5503204357,-0.9398751012,1.33237189449687E-09,0.000000003
KANSL1-AS1,-0.6177644878,1.0718834544,1.21919189849581E-08,2.55944499857454E-08
LCNL1,-0.1170145421,-2.4256994306,0.5418385822,0.5770400216
BBIP1,-0.3402004329,3.4954375127,1.17929236802394E-08,2.47855919962665E-08
KRT18P13,1.7451836781,-3.1657168908,6.25081943271413E-18,2.24391357207693E-17
LRRC37A4P,-0.5300798832,1.2849396333,0.0001767905,0.0002763216
CYCSP6,3.4163248586,-2.9496018468,6.4571234711058E-11,1.56644391194493E-10
VPS33B-DT,0.1606125036,-1.8373354692,0.0853227412,0.1024763796
GOLGA2P8,0.2690492219,-2.8816687289,0.0671197862,0.0816725857
AS3MT,0.6230109731,-1.0058326893,9.15947354211452E-06,1.57408881219448E-05
FAM185BP,-0.3691783131,-0.8599374995,8.56415130003003E-06,0.000014758
RCN1P2,-0.6558500846,2.2276755344,3.78363136345157E-09,8.20829992745594E-09
PLIN5,-0.4829649142,3.4539190251,0.006150054,0.0083755263
TPT1P6,-0.3642540709,-2.670810036,0.0006969165,0.0010354384
SMARCE1P6,0.343006767,-3.3118085753,0.0157496763,0.020554842
RPL7P1,0.1415695294,0.8521036071,0.1957662315,0.2243443989
SEC14L6,-0.1505196146,-0.5636216196,0.3675015814,0.4032905335
KRT42P,0.8612794937,-2.8657044297,0.0010249348,0.0014999666
PPME1,0.791768555,6.2169833676,2.64055912053755E-27,1.49055142204434E-26
STARD10,2.2291667186,7.8878926927,1.18788868776995E-45,1.36233317778635E-44
ZNF705E,0.0717834309,-2.4786909919,0.5647249617,0.5989694386
RPS15AP1,-0.1324055815,0.4577056326,0.111613035,0.1320482654
RPS4XP3,-0.4055374292,-2.5193700759,0.0006814803,0.0010136137
GTF2IRD2P1,0.6039947516,-0.8205683842,0.0003476737,0.0005305199
AC087491.1,1.0469120317,-0.3481041353,9.88775914347146E-05,0.0001575564
MEG3,-1.5022028202,4.5907876466,1.16693037708073E-34,9.11844905475924E-34
LRRC37A11P,0.0916727911,-1.4166261697,0.6206622296,0.653169098
AC019077.1,1.4367604213,-3.2611761539,1.45205034569083E-19,5.65528818997463E-19
NUTM2D,-0.0857194204,0.3878076368,0.2874422654,0.3209884296
CPEB1,-1.4760162979,0.966185858,5.96549283097213E-46,6.90278211379239E-45
HMGN2P15,-0.6207547553,0.569778154,7.09727928527314E-06,1.23012861370211E-05
EML6,0.0354661307,1.0478337114,0.7754210751,0.7984819249
RPS19P1,0.1032165572,-2.5372267161,0.3933925151,0.4294114446
SLC6A10P,2.2641058254,-1.7315139813,4.15807771859058E-06,7.32860522976625E-06
AC073592.1,-0.3331625423,-2.2527947149,0.0227017539,0.0291239041
ZNF727,-1.3832326216,-0.2064069169,4.09110678304873E-21,1.71516887617978E-20
HNRNPA3P3,0.669449723,-2.483518004,7.29291520736749E-09,1.55309858177766E-08
B3GNT10,0.3665981804,1.4983100383,4.39815809643406E-05,7.19274653206814E-05
ZSWIM8,0.0268328437,5.9586687213,0.5891058463,0.6225423273
KRT8P26,-0.0559879744,-2.2982284846,0.7211220878,0.7477874625
C10orf105,-0.929933624,-3.0041401358,6.36504652677487E-11,1.5447970765832E-10
ARHGEF33,-0.2882810388,-0.3929325422,0.0041014985,0.0056724719
C12orf71,-0.5350033825,-3.1730789655,4.55135975255724E-05,7.4343349084132E-05
IFRD2,0.2829004645,5.2419843901,3.17531002877663E-06,5.6483041551882E-06
AC116407.1,0.5827076468,0.0470429071,0.0006050118,0.0009037391
CAPN14,0.6244769245,-1.0157216741,0.000129136,0.0002039875
ZBED1,0.2359932288,6.2393794025,3.69679618126291E-06,6.54193149521271E-06
ZBED1,0.2359932288,6.2393794025,3.69679618126291E-06,6.54193149521271E-06
AC005562.1,0.0217061882,1.16808113,0.7684317934,0.792065973
CDIPTOSP,2.6949268615,-0.8652116935,3.29974465383495E-33,2.42553123132964E-32
HNRNPUL2,0.157290016,6.2180994037,0.0007194393,0.0010674409
CSKMT,0.6541638214,2.0063411947,3.29455736794064E-14,9.68949667498555E-14
SEPT7P2,-0.0955301547,3.3266980316,0.0971724527,0.1158117136
AL161756.1,0.3337432424,-1.7545894481,0.000049847,8.11482728504667E-05
AC010168.1,0.2162425759,-2.5533198474,0.1314639445,0.1541630411
AC092821.1,1.0367774376,0.8880371488,3.1194586745354E-07,5.96343839288296E-07
MS4A18,-0.7291158525,-1.5303305624,0.0064550868,0.0087724549
POLR2J4,-0.4207581929,1.4907324189,1.12015179333142E-08,2.35864416551154E-08
AC010468.1,-0.3715021942,-1.3999835437,7.01471919322504E-05,0.0001129696
MS4A4E,-1.2851324417,-1.3099447376,9.36233515784379E-30,5.91459041644933E-29
AC098934.1,2.5722128382,2.0285094051,1.90604152674709E-54,2.89543387157675E-53
AP002358.1,1.7285786157,-2.8157553114,1.5813646755997E-08,3.29175105312702E-08
FER1L6,1.9720233608,-1.3391582774,2.81413587854521E-14,8.31166712642674E-14
MPRIPP1,-0.7119486126,-1.9321421943,5.36982013333317E-19,2.03474507732359E-18
DDX12P,0.9629050598,1.4014724528,2.12448312745241E-20,8.61535987120156E-20
MTCP1,0.3017553668,0.4403220217,2.52242618579923E-05,4.19826984915426E-05
UPF3AP2,0.0826494964,-1.8421545482,0.4760356085,0.5121052004
LINC01347,0.1270835824,-0.233304189,0.1831275783,0.2106879102
RAD51AP2,-0.0602794367,-2.3866979813,0.7211825279,0.7478215708
AC114744.1,-0.5609936558,-2.931282497,8.06776796623904E-07,1.49841016154574E-06
LINC00612,-0.3675418773,-2.2323888076,0.0034351519,0.0047815934
APOC1P1,0.6757542209,-2.6830716814,1.20923363377939E-06,2.21736397072245E-06
EVPLL,0.8066160792,-2.6733831592,0.0005465298,0.0008194023
SRSF9P1,1.3018589489,-1.3421892084,1.44307441842707E-37,1.25075664631613E-36
AC004540.1,-0.3432207707,0.9766845471,0.0012141324,0.0017659043
SMTNL1,1.0432777758,-0.7607144992,4.72511315331271E-12,1.23062382864652E-11
USP8P1,0.6130761516,-2.5084268669,0.000086264,0.0001380488
LINC00243,1.9683727839,-0.377952629,2.95865678374482E-26,1.59419803595746E-25
LINC01588,1.5561401865,1.9570568711,8.09877186933133E-29,4.89315070476003E-28
RPL23AP3,0.318961323,-3.1752905996,0.0263375573,0.0335614388
